game_id,game_date,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season,Money Line
0041700404,2018-06-08,1,L,0,4,0,240,30,87,0.345,8,27,0.296,17,25,1,17,27,44,21,5,5,11,22,85,1610612744,2017,2017-18,150.00
0041700404,2018-06-08,0,W,4,0,1,240,39,86,0.453,14,38,0.368,16,16,1,10,34,44,25,7,13,8,24,108,1610612739,2017,2017-18,-166.00
0041700403,2018-06-06,1,L,0,3,0,240,40,92,0.435,9,31,0.29,13,17,1,15,32,47,20,6,4,13,18,102,1610612744,2017,2017-18,133.00
0041700403,2018-06-06,0,W,3,0,1,240,42,81,0.519,9,26,0.346,17,19,1,6,31,37,27,6,5,10,20,110,1610612739,2017,2017-18,-147.00
0041700402,2018-06-03,0,L,0,2,0,240,37,90,0.411,9,27,0.333,20,26,1,16,26,42,25,9,4,10,15,103,1610612744,2017,2017-18,444.00
0041700402,2018-06-03,1,W,2,0,1,240,47,82,0.573,15,36,0.417,13,21,1,7,34,41,28,3,8,12,25,122,1610612739,2017,2017-18,-527.00
0041700401,2018-05-31,0,L,0,1,0,265,44,99,0.444,10,37,0.27,16,22,1,19,34,53,18,5,3,11,18,114,1610612744,2017,2017-18,656.00
0041700401,2018-05-31,1,W,1,0,1,265,46,90,0.511,13,36,0.361,19,20,1,4,34,38,31,10,6,7,18,124,1610612739,2017,2017-18,-827.00
0041700317,2018-05-28,0,W,4,3,0.571,240,39,80,0.488,16,39,0.41,7,14,0,11,31,42,25,9,7,16,22,101,1610612745,2017,2017-18,-269.00
0041700317,2018-05-28,1,L,3,4,0.429,240,36,90,0.4,7,44,0.159,13,22,1,17,27,44,17,13,3,12,17,92,1610612744,2017,2017-18,239.00
0041700307,2018-05-27,0,W,4,3,0.571,240,30,66,0.455,9,35,0.257,18,25,1,2,39,41,15,2,4,12,21,87,1610612738,2017,2017-18,135.00
0041700307,2018-05-27,1,L,3,4,0.429,240,29,85,0.341,7,39,0.179,14,19,1,11,31,42,18,6,0,5,20,79,1610612739,2017,2017-18,-149.00
0041700316,2018-05-26,1,W,3,3,0.5,240,43,87,0.494,16,38,0.421,13,19,1,13,34,47,26,11,10,12,17,115,1610612745,2017,2017-18,-950.00
0041700316,2018-05-26,0,L,3,3,0.5,240,31,77,0.403,15,39,0.385,9,17,1,7,31,38,13,8,2,21,16,86,1610612744,2017,2017-18,736.00
0041700306,2018-05-25,1,W,3,3,0.5,240,41,87,0.471,9,23,0.391,18,22,1,15,29,44,16,8,9,9,19,109,1610612738,2017,2017-18,-305.00
0041700306,2018-05-25,0,L,3,3,0.5,240,38,74,0.514,12,28,0.429,11,20,1,5,26,31,25,5,2,13,18,99,1610612739,2017,2017-18,269.00
0041700315,2018-05-24,0,L,2,3,0.4,240,32,72,0.444,10,26,0.385,20,23,1,4,37,41,18,7,1,16,21,94,1610612745,2017,2017-18,-108.00
0041700315,2018-05-24,1,W,3,2,0.6,240,29,78,0.372,13,43,0.302,27,32,1,8,32,40,12,10,3,10,19,98,1610612744,2017,2017-18,-102.00
0041700305,2018-05-23,0,L,2,3,0.4,240,31,74,0.419,9,34,0.265,12,19,1,3,36,39,17,3,7,15,19,83,1610612738,2017,2017-18,112.00
0041700305,2018-05-23,1,W,3,2,0.6,240,31,85,0.365,13,39,0.333,21,23,1,7,38,45,18,10,6,8,19,96,1610612739,2017,2017-18,-123.00
0041700314,2018-05-22,1,L,2,2,0.5,240,35,89,0.393,9,27,0.333,13,14,1,16,33,49,14,6,3,16,24,92,1610612745,2017,2017-18,-380.00
